0.90	351	4764	30	571	0.3806941431670282	0.006257822277847309
0.91	351	4764	30	571	0.3806941431670282	0.006257822277847309
0.92	350	4764	30	572	0.3796095444685466	0.006257822277847309
0.93	349	4764	30	573	0.37852494577006507	0.006257822277847309
0.94	349	4764	30	573	0.37852494577006507	0.006257822277847309
0.95	349	4764	30	573	0.37852494577006507	0.006257822277847309
0.96	349	4764	30	573	0.37852494577006507	0.006257822277847309
0.97	349	4764	30	573	0.37852494577006507	0.006257822277847309
0.98	349	4764	30	573	0.37852494577006507	0.006257822277847309
0.99	349	4764	30	573	0.37852494577006507	0.006257822277847309
1.00	4	4794	0	918	0.004338394793926247	0.0
