0.00	884	17	4777	38	0.9587852494577006	0.9964539007092199
0.01	869	2404	2390	53	0.9425162689804772	0.4985398414685023
0.02	854	3118	1676	68	0.9262472885032538	0.3496036712557363
0.03	843	3381	1413	79	0.9143167028199566	0.29474342928660824
0.04	831	3580	1214	91	0.9013015184381779	0.25323320817688777
0.05	822	3679	1115	100	0.8915401301518439	0.23258239465999164
0.06	815	3770	1024	107	0.8839479392624728	0.21360033375052148
0.07	810	3838	956	112	0.8785249457700651	0.19941593658740092
0.08	801	3900	894	121	0.868763557483731	0.18648310387984982
0.09	798	3963	831	124	0.8655097613882863	0.17334167709637047
0.10	791	4019	775	131	0.8579175704989154	0.16166040884438881
0.11	783	4054	740	139	0.8492407809110629	0.1543596161869003
0.12	768	4095	699	154	0.8329718004338394	0.14580725907384232
0.13	758	4131	663	164	0.8221258134490239	0.13829787234042554
0.14	752	4162	632	170	0.8156182212581344	0.13183145598664997
0.15	743	4203	591	179	0.8058568329718004	0.123279098873592
0.16	735	4228	566	187	0.797180043383948	0.1180642469753859
0.17	718	4267	527	204	0.7787418655097614	0.1099290780141844
0.18	712	4289	505	210	0.7722342733188721	0.10534000834376303
0.19	703	4324	470	219	0.762472885032538	0.09803921568627451
0.20	687	4360	434	235	0.745119305856833	0.09052982895285774
0.21	686	4378	416	236	0.7440347071583514	0.08677513558614935
0.22	680	4393	401	242	0.737527114967462	0.08364622444722569
0.23	671	4414	380	251	0.7277657266811279	0.07926574885273258
0.24	666	4424	370	256	0.7223427331887202	0.07717980809345015
0.25	645	4474	320	277	0.6995661605206074	0.06675010429703797
0.26	645	4478	316	277	0.6995661605206074	0.06591572799332499
0.27	642	4492	302	280	0.6963123644251626	0.06299541093032958
0.28	635	4501	293	287	0.6887201735357917	0.061118064246975384
0.29	626	4511	283	296	0.6789587852494577	0.05903212348769295
0.30	622	4526	268	300	0.6746203904555315	0.05590321234876929
0.31	619	4533	261	303	0.6713665943600867	0.05444305381727159
0.32	612	4545	249	310	0.6637744034707158	0.05193992490613267
0.33	610	4552	242	312	0.6616052060737527	0.05047976637463496
0.34	571	4596	198	351	0.6193058568329718	0.04130162703379224
0.35	570	4597	197	352	0.6182212581344902	0.041093032957864
0.36	568	4602	192	354	0.6160520607375272	0.04005006257822278
0.37	564	4612	182	358	0.6117136659436009	0.03796412181894034
0.38	558	4618	176	364	0.6052060737527115	0.03671255736337088
0.39	555	4621	173	367	0.6019522776572668	0.03608677513558615
0.40	545	4632	162	377	0.5911062906724512	0.03379224030037547
0.41	543	4635	159	379	0.588937093275488	0.03316645807259074
0.42	538	4639	155	384	0.5835140997830802	0.032332081768877766
0.43	532	4645	149	390	0.5770065075921909	0.0310805173133083
0.44	526	4647	147	396	0.5704989154013015	0.030663329161451813
0.45	526	4652	142	396	0.5704989154013015	0.0296203587818106
0.46	523	4655	139	399	0.5672451193058569	0.028994576554025864
0.47	521	4659	135	401	0.5650759219088937	0.028160200250312892
0.48	520	4661	133	402	0.5639913232104121	0.027743012098456404
0.49	520	4663	131	402	0.5639913232104121	0.027325823946599916
0.50	453	4708	86	469	0.4913232104121475	0.017939090529828953
0.51	453	4708	86	469	0.4913232104121475	0.017939090529828953
0.52	452	4708	86	470	0.49023861171366595	0.017939090529828953
0.53	448	4710	84	474	0.48590021691973967	0.017521902377972465
0.54	443	4713	81	479	0.4804772234273319	0.016896120150187734
0.55	440	4713	81	482	0.4772234273318872	0.016896120150187734
0.56	438	4716	78	484	0.4750542299349241	0.016270337922403004
0.57	435	4716	78	487	0.4718004338394794	0.016270337922403004
0.58	434	4718	76	488	0.47071583514099785	0.015853149770546516
0.59	430	4718	76	492	0.46637744034707157	0.015853149770546516
0.60	421	4722	72	501	0.4566160520607375	0.015018773466833541
0.61	420	4725	69	502	0.455531453362256	0.014392991239048811
0.62	420	4727	67	502	0.455531453362256	0.013975803087192323
0.63	418	4729	65	504	0.45336225596529284	0.013558614935335837
0.64	417	4729	65	505	0.4522776572668113	0.013558614935335837
0.65	416	4730	64	506	0.4511930585683297	0.013350020859407593
0.66	413	4730	64	509	0.447939262472885	0.013350020859407593
0.67	399	4748	46	523	0.43275488069414314	0.009595327492699207
0.68	399	4751	43	523	0.43275488069414314	0.008969545264914476
0.69	397	4751	43	525	0.43058568329718006	0.008969545264914476
0.70	396	4751	43	526	0.42950108459869846	0.008969545264914476
0.71	396	4751	43	526	0.42950108459869846	0.008969545264914476
0.72	393	4752	42	529	0.4262472885032538	0.008760951188986232
0.73	389	4752	42	533	0.42190889370932755	0.008760951188986232
0.74	388	4753	41	534	0.420824295010846	0.008552357113057988
0.75	379	4754	40	543	0.41106290672451196	0.008343763037129746
0.76	379	4754	40	543	0.41106290672451196	0.008343763037129746
0.77	375	4754	40	547	0.4067245119305857	0.008343763037129746
0.78	375	4754	40	547	0.4067245119305857	0.008343763037129746
0.79	373	4759	35	549	0.40455531453362253	0.0073007926574885276
0.80	369	4762	32	553	0.4002169197396963	0.006675010429703796
0.81	369	4762	32	553	0.4002169197396963	0.006675010429703796
0.82	369	4762	32	553	0.4002169197396963	0.006675010429703796
0.83	368	4762	32	554	0.39913232104121477	0.006675010429703796
0.84	365	4763	31	557	0.3958785249457701	0.006466416353775553
0.85	364	4763	31	558	0.3947939262472885	0.006466416353775553
0.86	361	4763	31	561	0.3915401301518438	0.006466416353775553
0.87	361	4764	30	561	0.3915401301518438	0.006257822277847309
0.88	356	4764	30	566	0.38611713665943603	0.006257822277847309
0.89	352	4764	30	570	0.38177874186550975	0.006257822277847309
