0.0,0.0,0,0,138863970,0,6425534
0.0582585677191859,0.4338464320630783,250,2787695,130773954,8090016,3637839
0.14630299709852743,0.5631756053271214,500,3618704,118547755,20316215,2806830
0.24068221584043722,0.6500286201893881,750,4176781,105441882,33422088,2248753
0.35806120910989364,0.7300535644197043,1000,4690984,89142169,49721801,1734550
0.48614434687413877,0.8016689352200144,1250,5151151,71356036,67507934,1274383
0.5722782302709623,0.8540287857787384,1500,5487591,59395143,79468827,937943
0.6730366343407869,0.8949372923713422,1750,5750450,45403431,93460539,675084
0.7294744921954918,0.9180645530783901,2000,5899055,37566246,101297724,526479
0.8352794681010488,0.939737771210922,2250,6038317,22873747,115990223,387217
0.8655637095785177,0.9536152170387706,2500,6127487,18668357,120195613,298047
0.8994072616532568,0.9658646269710813,2750,6206196,13968707,124895263,219338
0.915611500953055,0.9752117100306371,3000,6266256,11718522,127145448,159278
0.9463735769616841,0.9815696251860156,3250,6307109,7446778,131417192,118425
0.9779610866663253,0.9895983742362892,3500,6358698,3060411,135803559,66836
0.992647106373237,0.994845097699273,3750,6392411,1021052,137842918,33123
0.9980439346505793,0.9988139507160028,4000,6417913,271627,138592343,7621
1.0,1.0,4250,6425534,0,138863970,0
