0.05	0.3565618383518049	0.4363081902372182	0.9277851975051024	0.5151454963218657
0.10	0.4418422919930002	0.5269376584808243	0.8851955344825206	0.589458440467357
0.15	0.5034078262366986	0.5869714435143839	0.845402023608383	0.6310481719119752
0.20	0.5501065116916215	0.6311480716496937	0.8092383962144644	0.654973301741631
0.25	0.5931961418328157	0.6682746887431227	0.7710405956264543	0.6705263008440925
0.30	0.6360034757977197	0.7038515745747513	0.729239296762683	0.6794377333483832
0.35	0.6751032976312095	0.7359922342878806	0.6875110199134172	0.6812506675222765
0.40	0.7078673681107703	0.7611830541250075	0.6495560329470466	0.6774592498175362
0.45	0.7368488115969524	0.7830058589939177	0.6134257648204379	0.6694964916101191
0.50	0.7751247442544209	0.8153860913336788	0.5605955041399825	0.6506324169286326
0.55	0.7983785616770623	0.8323723959221969	0.528017752101464	0.6356441873120461
0.60	0.823896049751799	0.8519022275445727	0.488592409158182	0.6134139361171331
0.65	0.8453936603753148	0.8677511442151806	0.4522143561548751	0.5892367262747126
0.70	0.8719195356922562	0.8901848361427845	0.40409990312847877	0.5522527152637973
0.75	0.8960037986151141	0.9101527421941591	0.3551718452004106	0.508698077737882
0.80	0.9171360814586408	0.9277964202452026	0.3075084173362184	0.46058601523760273
0.85	0.9376624400070657	0.9444710961188707	0.25596300256080434	0.4021477508327353
0.90	0.9623999846116013	0.9658379617263029	0.18699056706140815	0.31313937390640845
0.95	0.9884060534947499	0.9891106306006482	0.11309601682301323	0.20296791202900324
1.00	NaN	NaN	0.0	NaN
